代號,簡稱,日期,序號,主旨,Unnamed: 5
4916,事欣科,112/05/23,1,公告本公司發行國內第四次無擔保轉換公司債完成訂價,
9906,欣巴巴,112/05/22,1,公告本公司國內第一次有擔保轉換公司債完成訂價,
2421,建準,112/05/22,1,公告本公司國內第三次無擔保轉換公司債收足應募價款,
1533,車王電,112/05/19,1,"代子公司REGITAR U.S.A.,INC.公告取得 Optimal Electric Vehicles LLC之可轉換公司債",
9906,欣巴巴,112/05/19,3,公告本公司國內第一次有擔保轉換公司債之 委託代收債款及存儲專戶行庫,
2462,良得電,112/05/18,1,本公司董事會決議通過發行國內第四次無擔保轉換公司債,
9906,欣巴巴,112/05/17,1,(補充112/3/28董事會公告)本公司發行國內第一次 有擔保轉換公司債,
6269,台郡,112/05/17,2,公告調整本公司可轉換公司債轉換價格,
4414,如興,112/05/16,7,本公司董事會決議辦理私募國內無擔保可轉換公司債案,
3701,大眾控,112/05/16,1,公告本公司簽訂國內第二次無擔保轉換公司債代收 及存儲價款專戶,
代號,簡稱,日期,序號,主旨,
6189,豐藝,112/05/15,1,本公司可轉換公司債豐藝三(代號:61893) 近期達公布注 意交易資訊標準，故公告相關訊息以利投資人區別瞭解。,
1736,喬山,112/05/11,2,本公司董事會決議發行國內第一次無擔保轉換公司債,
3665,貿聯-KY,112/05/11,5,公告本公司海外第四次及第五次無擔保可轉換公司債轉換價格調整,
2012,春雨,112/05/11,2,公告本公司董事會決議除息基準日暨國內轉換公司債停止轉換期間,
4566,時碩工業,112/05/11,4,本公司董事會決議發行國內第三次無擔保轉換公司債,
4566,時碩工業,112/05/11,3,本公司董事會決議國內第二次無擔保轉換公司債轉換普通股 之增資基準日,
4566,時碩工業,112/05/11,2,本公司董事會決議國內第一次無擔保轉換公司債轉換普通股 之增資基準日,
4906,正文,112/05/11,1,公告本公司國內第六次無擔保轉換公司債代收價款行庫及 存儲專戶行庫,
6670,復盛應用,112/05/11,2,公告本公司國內第一次無擔保轉換公司債 轉換普通股之發行新股增資基準日,
1514,亞力,112/05/11,3,亞力電機股份有限公司國內第一次無擔保轉換公司債,
代號,簡稱,日期,序號,主旨,
1436,華友聯,112/05/11,2,公告本公司國內第一次及第二次有擔保轉換公司債 轉換普通股之發行新股增資基準日,
3092,鴻碩,112/05/10,1,公告本公司申請延長國內第二次無擔保轉換公司債募集期間 三個月，業經金管會准予備查,
6285,啟碁,112/05/10,3,本公司董事會決議發行國內第四次無擔保轉換公司債,
2630,亞航,112/05/10,3,公告112 年現金增資發行新股認股基準日、股款繳款期 間等相關事宜暨國內第二次無擔保轉換公司債停止轉換期間。,
9921,巨大,112/05/10,1,"中止本公司透過100%持有之子公司投資 Stages Cycling, Inc. 普通股股權 及可轉換公司債案之商議",
2472,立隆電,112/05/10,5,公告本公司國內第三次無擔保轉換公司債轉換普通股之 增資基準日,
3653,健策,112/05/10,1,公告健策股份有限公司第三次無擔保轉換公司債(簡稱：健策三，代碼：36533)發行公司行使債券贖回權暨訂於112年07月20日終止櫃檯買賣等相關事宜。,
1786,科妍,112/05/10,2,公告本公司國內第二次無擔保轉換公司債轉換普通股 之發行新股基準日,
1526,日馳,112/05/10,3,公告本公司董事會決議發行國內第一次無擔保轉換公司債,
3059,華晶科,112/05/09,2,本公司董事會決議停止辦理民國111年股東常會通過之 現金增資私募普通股、私募國內或海外轉換公司債,
